id	name	formula	charge	aliases
cpd03492	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine	C94H155N9O25P2	-2	
cpd03491	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C94H153N8O26P2	-3	
cpd15768	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C313H548N24O255P24	-24	
cpd15750	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C121H236O135P24	-24	
cpd00289	Geranylgeranyl diphosphate	C20H34O7P2	-2	
cpd00350	Farnesyldiphosphate	C15H26O7P2	-2	
cpd02498	2,3-Dihydroxy-isovalerate	C5H9O4	-1	
cpd15331	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H34O7P	-1	
cpd01695	Myristoyl-CoA	C35H59N7O17P3S	-3	
cpd00809	O-Phospho-L-homoserine	C4H9NO6P	-1	
cpd00521	dTDP-4-oxo-6-deoxy-D-glucose	C16H22N2O15P2	-2	
cpd00072	D-fructose-6-phosphate	C6H12O9P	-1	
cpd00288	D-Glucosamine phosphate	C6H14NO8P	0	
cpd11486	3-Oxohexanoyl-[acp]	C17H29N2O9PRS	-1	
cpd11479	D-3-Hydroxyhexanoyl-[acp]	C17H31N2O9PRS	-1	
cpd00868	p-hydroxyphenylpyruvate	C9H7O4	-1	
cpd11493	ACP	C11H21N2O7PRS	-1	
cpd15327	1-hexadecanoyl-sn-glycerol 3-phosphate	C19H38O7P	-1	
cpd15277	Palmitoyl-ACP	C27H51N2O8PRS	-1	
cpd00348	D-Galactose 1-phosphate	C6H12O9P	-1	
cpd00062	UTP	C9H12N2O15P3	-3	
cpd17042	DNA replication		0	
cpd03118	(S)-Hydroxydecanoyl-CoA	C31H51N7O18P3S	-3	
cpd03119	3-Oxodecanoyl-CoA	C31H49N7O18P3S	-3	
cpd00042	GSH	C10H16N3O6S	-1	
cpd02182	(R)-S-Lactoylglutathione	C13H20N3O8S	-1	
cpd00221	D-Lactate	C3H5O3	-1	
cpd00132	L-Asparagine	C4H8N2O3	0	
cpd11581	gly-asn-L	C6H11N3O4	0	
cpd11521	5-methyl-3-oxo-hexanoyl-ACP	C18H31N2O9PRS	-1	
cpd11522	5-methyl-3-hydroxy-hexanoyl-ACP	C18H33N2O9PRS	-1	
cpd00873	Nicotinate ribonucleotide	C11H13NO9P	-1	
cpd00638	Deamido-NAD	C21H24N6O15P2	-2	
cpd02820	UDP-N-acetylglucosamine enolpyruvate	C20H26N3O19P2	-3	
cpd15328	1-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H40O7P	-1	
cpd15527	1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	C39H72O8P	-1	
cpd11825	Octadecenoyl-ACP	C29H53N2O8PRS	-1	
cpd00117	D-Alanine	C3H7NO2	0	
cpd15522	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C31H60O8P	-1	
cpd00508	3MOP	C6H9O3	-1	
cpd02535	2,3-Dihydroxy-3-methylvalerate	C6H11O4	-1	
cpd00930	imidazole acetol-phosphate	C6H8N2O5P	-1	
cpd00807	L-histidinol-phosphate	C6H12N3O4P	0	
cpd15521	1,2-didodecanoyl-sn-glycerol 3-phosphate	C27H52O8P	-1	
cpd15325	1-dodecanoyl-sn-glycerol 3-phosphate	C15H30O7P	-1	
cpd11468	Dodecanoyl-ACP	C23H43N2O8PRS	-1	
cpd02229	Bactoprenyl diphosphate	C55H90O7P2	-2	
cpd00286	Undecaprenylphosphate	C55H90O4P	-1	
cpd00141	Propionate	C3H5O2	-1	
cpd11439	fa4coa	C36H61N7O17P3S	-3	
cpd15675	1-anteisopentadecanoyl-sn-glycerol 3-phosphate	C18H36O7P	-1	
cpd01720	3-Ureidopropanoate	C4H7N2O3	-1	
cpd00337	Hydrouracil	C4H6N2O2	0	
cpd00210	Taurine	C2H7NO3S	0	
cpd04122	Aminoacetaldehyde	C2H6NO	1	
cpd00345	5-Methyltetrahydrofolate	C20H23N7O6	-2	
cpd00087	Tetrahydrofolate	C19H21N7O6	-2	
cpd15268	Octadecanoyl-ACP	C29H55N2O8PRS	-1	
cpd15329	1-octadecanoyl-sn-glycerol 3-phosphate	C21H42O7P	-1	
cpd11534	11-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1	
cpd11533	11-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1	
cpd02605	2-isopropyl-3-oxosuccinate	C7H8O5	-2	
cpd02693	3-Isopropylmalate	C7H10O5	-2	
cpd00071	Acetaldehyde	C2H4O	0	
cpd15677	1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate	C37H72O8P	-1	
cpd11432	fa11coa	C38H65N7O17P3S	-3	
cpd15671	1-isoheptadecanoyl-sn-glycerol 3-phosphate	C20H40O7P	-1	
cpd00085	beta-Alanine	C3H7NO2	0	
cpd00408	Pantoate	C6H11O4	-1	
cpd00644	PAN	C9H16NO5	-1	
cpd00158	CELB	C12H22O11	0	
cpd03129	(2E)-Decenoyl-CoA	C31H49N7O17P3S	-3	
cpd00190	beta-D-Glucose	C6H12O6	0	
cpd03608	4-Hydroxy-L-threonine	C4H9NO4	0	
cpd03607	4-(Phosphonooxy)-threonine	C4H9NO7P	-1	
cpd00338	5-Aminolevulinate	C5H9NO3	0	
cpd00689	Porphobilinogen	C10H13N2O4	-1	
cpd00492	N-Acetyl-D-mannosamine	C8H15NO6	0	
cpd00232	Neu5Ac	C11H18NO9	-1	
cpd00344	N-Formimino-L-glutamate	C6H9N2O4	-1	
cpd00502	5-Formiminotetrahydrofolate	C20H22N8O6	-2	
cpd00110	Cytochrome c2+	C42H52FeN8O6S2	4	
cpd00109	Cytochrome c3+	C42H52FeN8O6S2	5	
cpd10162	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	C6H9O4	-1	
cpd15604	Gly-Leu	C8H16N2O3	0	
cpd11489	3-oxododecanoyl-acp	C23H41N2O9PRS	-1	
cpd11480	D-3-Hydroxydodecanoyl-[acp]	C23H43N2O9PRS	-1	
cpd00175	UDP-N-acetyl-D-galactosamine	C17H25N3O17P2	-2	
cpd02569	2-Oxo-3-hydroxyisovalerate	C5H7O4	-1	
cpd00668	ALCTT	C5H7O4	-1	
cpd03048	Isethionate	C2H5O4S	-1	
cpd00229	Glycolaldehyde	C2H4O2	0	
cpd00206	dCMP	C9H13N3O7P	-1	
cpd00533	dCDP	C9H13N3O10P2	-2	
cpd11584	Ala-His	C9H14N4O3	0	
cpd00294	dAMP	C10H13N5O6P	-1	
cpd00177	dADP	C10H13N5O9P2	-2	
cpd00906	all-trans-Hexaprenyl diphosphate	C30H50O7P2	-2	
cpd02591	pendp	C25H42O7P2	-2	
cpd11571	3-Hydroxyoctodecanoyl-ACP	C29H55N2O9PRS	-1	
cpd11570	3-Oxooctodecanoyl-ACP	C29H53N2O9PRS	-1	
cpd00105	D-Ribose	C5H10O5	0	
cpd11505	8-methyl-3-hydroxy-decanoyl-ACP	C22H41N2O9PRS	-1	
cpd11504	8-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd00219	Prephenate	C10H8O6	-2	
cpd00143	Phenylpyruvate	C9H7O3	-1	
cpd03560	Propionyladenylate	C13H17N5O8P	-1	
cpd00599	SALC	C7H5O3	-1	
cpd00077	Catechol	C6H6O2	0	
cpd11593	ala-L-asp-L	C7H11N2O5	-1	
cpd00134	Palmitoyl-CoA	C37H63N7O17P3S	-3	
cpd15524	1,2-dihexadecanoyl-sn-glycerol 3-phosphate	C35H68O8P	-1	
cpd11585	L-alanylglycine	C5H10N2O3	0	
cpd15754	Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C119H232O135P24	-24	
cpd15772	Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C311H544N24O255P24	-24	
cpd11555	8-methyl-3-hydroxy-nonanoyl-ACP	C21H39N2O9PRS	-1	
cpd11554	8-methyl-3-oxo-nonanoyl-ACP	C21H37N2O9PRS	-1	
cpd15748	Stearoyllipoteichoic acid (n=24), linked, unsubstituted	C123H240O135P24	-24	
cpd15766	Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C315H552N24O255P24	-24	
cpd11440	fa6	C16H31O2	-1	
cpd00045	Adenosine 3-5-bisphosphate	C10H13N5O10P2	-2	
cpd12370	apo-ACP	HOR	0	
cpd14699	S-(3-Methylbutanoyl)-dihydrolipoamide-E	C13H25NO2S2	0	
cpd01882	Isovaleryl-CoA	C26H41N7O17P3S	-3	
cpd00449	Dihydrolipoamide	C8H17NOS2	0	
cpd00448	D-Glyceraldehyde	C3H6O3	0	
cpd00100	Glycerol	C3H8O3	0	
cpd11529	9-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd11530	9-methyl-3-hydroxy-decanoyl-ACP	C22H41N2O9PRS	-1	
cpd02851	AICAR	C9H14N4O8P	-1	
cpd00106	Fumarate	C4H2O4	-2	
cpd02921	SAICAR	C13H16N4O12P	-3	
cpd00079	D-glucose-6-phosphate	C6H12O9P	-1	
cpd00142	Acetoacetate	C4H5O3	-1	
cpd00279	Acetoacetyl-CoA	C25H37N7O18P3S	-3	
cpd00020	Pyruvate	C3H3O3	-1	
cpd00093	Anthranilate	C7H6NO2	-1	
cpd00216	Chorismate	C10H8O6	-2	
cpd15681	1,2-dianteisopentadecanoyl-sn-glycerol 3-phosphate	C33H64O8P	-1	
cpd03116	(S)-3-Hydroxydodecanoyl-CoA	C33H55N7O18P3S	-3	
cpd02060	(2E)-Dodecenoyl-CoA	C33H53N7O17P3S	-3	
cpd00047	Formate	CHO2	-1	
cpd00213	Lipoamide	C8H15NOS2	0	
cpd00309	XAN	C5H4N4O2	0	
cpd00300	Urate	C5H4N4O3	0	
cpd00092	Uracil	C4H4N2O2	0	
cpd00859	Pseudouridine 5'-phosphate	C9H12N2O9P	-1	
cpd11580	Gly-Gln	C7H13N3O4	0	
cpd03049	2-Hydroxyethyl-ThPP	C14H21N4O8P2S	-1	
cpd00498	2-Aceto-2-hydroxybutanoate	C6H9O4	-1	
cpd00056	TPP	C12H17N4O7P2S	-1	
cpd11481	R-3-hydroxypalmitoyl-acyl-carrierprotein-	C27H51N2O9PRS	-1	
cpd11485	3-oxohexadecanoyl-acp	C27H49N2O9PRS	-1	
cpd09806	m-Cresotic acid	C8H7O3	-1	
cpd04117	4-Methylcatechol	C7H8O2	0	
cpd03671	D-Glucosamine1-phosphate	C6H14NO8P	0	
cpd17043	RNA transcription		0	
cpd00510	deoxyribose-5-phosphate	C5H10O7P	-1	
cpd01242	Thyminose	C5H10O4	0	
cpd11587	Ala-Gln	C8H15N3O4	0	
cpd02345	L-Glutamate1-semialdehyde	C5H9NO3	0	
cpd00327	strcoa	C39H67N7O17P3S	-3	
cpd00842	(S)-3-Hydroxybutyryl-CoA	C25H39N7O18P3S	-3	
cpd02678	N-Formyl-GAR	C8H14N2O9P	-1	
cpd15669	glycerol teichoic acid (n=45), linked, glucose substituted	C461H809N10O484P46R	-48	
cpd15666	Peptidoglycan polymer (n-1 subunits)	C40H63N8O21R	-2	
cpd15662	Prenol-45n teichoic acid-glucose substituted	C476H836N2O467P47	-47	
cpd11431	fa11	C17H33O2	-1	
cpd00028	Heme	C34H30FeN4O4	-2	
cpd11313	hemeO	C49H56FeN4O5	-2	
cpd00128	Adenine	C5H5N5	0	
cpd00182	Adenosine	C10H13N5O4	0	
cpd00298	dTMP	C10H14N2O8P	-1	
cpd00322	L-Isoleucine	C6H13NO2	0	
cpd00836	S-Acetyldihydrolipoamide	C10H19NO2S2	0	
cpd00900	GDP-4-dehydro-D-rhamnose	C16H21N5O15P2	-2	
cpd00083	GDP-mannose	C16H23N5O16P2	-2	
cpd00096	CDP	C9H13N3O11P2	-2	
cpd00390	CDP-glucose	C15H23N3O16P2	-2	
cpd00052	CTP	C9H13N3O14P3	-3	
cpd00066	L-Phenylalanine	C9H11NO2	0	
cpd15605	Gly-Phe	C11H14N2O3	0	
cpd00226	HYXN	C5H4N4O	0	
cpd11466	Myristoyl-ACP	C25H47N2O8PRS	-1	
cpd15352	2-Demethylmenaquinone 8	C50H70O2	0	
cpd15353	2-Demethylmenaquinol 8	C50H72O2	0	
cpd01710	2-Isopropylmaleate	C7H8O4	-2	
cpd02375	Adenylosuccinate	C14H15N5O11P	-3	
cpd11562	12-methyl-3-oxo-tridecanoyl-ACP	C25H45N2O9PRS	-1	
cpd11563	12-methyl-3-hydroxy-tridecanoyl-ACP	C25H47N2O9PRS	-1	
cpd02097	L-Glutamyl 5-phosphate	C5H9NO7P	-1	
