id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn03068_c0	<=>	c0	(FNEB7-bin-3.genome.CDS.4874) or (FNEB7-bin-3.genome.CDS.4874)	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd02498[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd02569[c0]
rxn11717_c0	<=>	c0	FNEB7-bin-3.genome.CDS.4923	R08182_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd02263[c0] <=> (1) cpd00010[c0] + (2) cpd00067[c0] + (1) cpd02077[c0]
rxn05344_c0	=>	c0	FNEB7-bin-3.genome.CDS.7236	Tetradecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11466[c0] + (1) cpd11492[c0] => (1) cpd00011[c0] + (1) cpd11485[c0] + (1) cpd11493[c0]
rxn03241_c0	<=>	c0	(FNEB7-bin-3.genome.CDS.7332) or (FNEB7-bin-3.genome.CDS.5149) or (FNEB7-bin-3.genome.CDS.4264) or (FNEB7-bin-3.genome.CDS.5864) or (FNEB7-bin-3.genome.CDS.6689)	(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase_c0	Unknown	Unknown	None	(1) cpd03115[c0] <=> (1) cpd00001[c0] + (1) cpd03127[c0]
rxn01521_c0	=>	c0	FNEB7-bin-3.genome.CDS.6538	2'-Deoxyuridine 5'-monophosphate phosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00299[c0] => (1) cpd00009[c0] + (1) cpd00412[c0]
rxn12636_c0	<=>	c0	((FNEB7-bin-3.genome.CDS.4726) or (FNEB7-bin-3.genome.CDS.4915)) or (FNEB7-bin-3.genome.CDS.6547) or ((FNEB7-bin-3.genome.CDS.4163) or (FNEB7-bin-3.genome.CDS.5256))	methionyl aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd11590[c0] <=> (1) cpd00035[c0] + (1) cpd00060[c0]
rxn11759_c0	<=>	c0	FNEB7-bin-3.genome.CDS.5059	5-fluorouridine monophosphate:diphosphate phospho-alpha-D-ribosyl-transferase_c0	Unknown	Unknown	None	(1) cpd00103[c0] + (1) cpd04810[c0] <=> (1) cpd00012[c0] + (1) cpd16438[c0]
rxn05414_c0	<=>	c0	(FNEB7-bin-3.genome.CDS.5177) or (FNEB7-bin-3.genome.CDS.5722) or (FNEB7-bin-3.genome.CDS.4340) or (FNEB7-bin-3.genome.CDS.5309) or (FNEB7-bin-3.genome.CDS.5662) or (FNEB7-bin-3.genome.CDS.4589) or (FNEB7-bin-3.genome.CDS.7440) or (FNEB7-bin-3.genome.CDS.7070) or (FNEB7-bin-3.genome.CDS.4237) or (FNEB7-bin-3.genome.CDS.7152) or (FNEB7-bin-3.genome.CDS.4584)	6-methyl-3-oxo-heptanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd11550[c0] <=> (1) cpd00006[c0] + (1) cpd11551[c0]
rxn05596_c0	<=>	c0	((FNEB7-bin-3.genome.CDS.5081) or (FNEB7-bin-3.genome.CDS.4528)) or ((FNEB7-bin-3.genome.CDS.5082) or (FNEB7-bin-3.genome.CDS.1066))	TRANS-RXNBWI-115525.ce.maizeexp.K+_c0	Unknown	Unknown	None	(1) cpd00067[e0] + (1) cpd00205[c0] <=> (1) cpd00067[c0] + (1) cpd00205[e0]
rxn00338_c0	=>	c0	FNEB7-bin-3.genome.CDS.5897	L-aspartate:oxygen oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00007[c0] + (1) cpd00041[c0] => (1) cpd00025[c0] + (1) cpd00067[c0] + (1) cpd03470[c0]
rxn00700_c0	<=>	c0	FNEB7-bin-3.genome.CDS.5032	GTP:alpha-D-glucose-1-phosphate guanylyltransferase_c0	Unknown	Unknown	None	(1) cpd00038[c0] + (1) cpd00089[c0] <=> (1) cpd00012[c0] + (1) cpd00315[c0]
rxn02373_c0	<=	c0	FNEB7-bin-3.genome.CDS.4063	L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00009[c0] + (1) cpd00858[c0] <= (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd02097[c0]
rxn03094_c0	<=>	c0	FNEB7-bin-3.genome.CDS.7228	Glycodeoxycholate amidohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd03245[c0] <=> (1) cpd00033[c0] + (1) cpd02733[c0]
rxn00085_c0	<=>	c0	(FNEB7-bin-3.genome.CDS.6188) and (FNEB7-bin-3.genome.CDS.2396)	L-Glutamate:NADP+ oxidoreductase (transaminating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (2) cpd00023[c0] <=> (1) cpd00005[c0] + (1) cpd00024[c0] + (1) cpd00053[c0] + (1) cpd00067[c0]
rxn00119_c0	<=>	c0	(FNEB7-bin-3.genome.CDS.7116) or (FNEB7-bin-3.genome.CDS.6729)	ATP:UMP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00067[c0] + (1) cpd00091[c0] <=> (1) cpd00008[c0] + (1) cpd00014[c0]
rxn11749_c0	<=>	c0	FNEB7-bin-3.genome.CDS.4005	5'-deoxy-5-fluorocytidine aminohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd16439[c0] <=> (1) cpd00013[c0] + (1) cpd16329[c0]
rxn02677_c0	<=>	c0	FNEB7-bin-3.genome.CDS.7403	Cycloeucalenol lyase (cyclopropane-decyclizing)_c0	Unknown	Unknown	None	(1) cpd01451[c0] <=> (1) cpd01334[c0]
rxn04453_c0	=>	c0	FNEB7-bin-3.genome.CDS.6649	5-hydroxyisourate amidohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd08625[c0] => (1) cpd00067[c0] + (1) cpd09027[c0]
