id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn01333_c0	<=>	c0	MEint11576.genome.CDS.1999	Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate_c0	Unknown	Unknown	None	(1) cpd00238[c0] + (1) cpd00102[c0] <=> (1) cpd00236[c0] + (1) cpd00072[c0]
rxn01626_c0	=>	c0	MEint11576.genome.CDS.2421	5,6-Dihydrouracil amidohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00337[c0] => (1) cpd00067[c0] + (1) cpd01720[c0]
rxn00303_c0	<=>	c0	MEint11576.genome.CDS.2384	ATP:GTP 3'-pyrophosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00038[c0] <=> (1) cpd00018[c0] + (1) cpd02740[c0]
rxn00693_c0	<=>	c0	MEint11576.genome.CDS.1840	5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase_c0	Unknown	Unknown	None	(1) cpd00345[c0] + (1) cpd00135[c0] <=> (1) cpd00060[c0] + (1) cpd00087[c0]
rxn00122_c0	=>	c0	(MEint11576.genome.CDS.2352) and (MEint11576.genome.CDS.2352)	ATP:FMN adenylyltransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00050[c0] => (1) cpd00015[c0] + (1) cpd00012[c0]
rxn03908_c0	<=>	c0	MEint11576.genome.CDS.1873	ATP: 4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08287[c0] + (1) cpd00002[c0] <=> (1) cpd08288[c0] + (1) cpd00008[c0]
rxn08551_c0	=>	c0	(MEint11576.genome.CDS.2528) and ((MEint11576.genome.CDS.1755) or (MEint11576.genome.CDS.2553))	glycerol-3-phosphate acyltransferase (C18:0)_c0	Unknown	Unknown	None	(1) cpd15268[c0] + (1) cpd00080[c0] => (1) cpd15329[c0] + (1) cpd11493[c0]
rxn02213_c0	=>	c0	MEint11576.genome.CDS.1798	3-Dehydroquinate hydro-lyase_c0	Unknown	Unknown	None	(1) cpd00699[c0] => (1) cpd00001[c0] + (1) cpd01716[c0]
rxn08669_c0	=>	c0	(MEint11576.genome.CDS.847) or (MEint11576.genome.CDS.1595)	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd02090[c0] => (1) cpd00080[c0] + (1) cpd00100[c0]
rxn05397_c0	<=>	c0	(MEint11576.genome.CDS.1645) or (MEint11576.genome.CDS.2029) or (MEint11576.genome.CDS.1327) or (MEint11576.genome.CDS.1505) or (MEint11576.genome.CDS.1519) or (MEint11576.genome.CDS.1464) or (MEint11576.genome.CDS.2570)	11-methyl-3-oxo-dodecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11533[c0] + (1) cpd00005[c0] <=> (1) cpd11534[c0] + (1) cpd00006[c0]
rxn04308_c0	=>	c0	MEint11576.genome.CDS.1901	di-trans,poly-cis-Decaprenyl-diphosphate:isopentenyl-diphosphate_c0	Unknown	Unknown	None	(7) cpd00113[c0] + (1) cpd08211[c0] => (1) cpd02229[c0] + (7) cpd00012[c0]
