,FNEB6-bin-1,FNEB6-bin-2,FNEB6-bin-3,FNEB6-bin-4,FNEB6-bin-6,FNEB6-bin-10,FNEB7-bin-1,FNEB7-bin-2,FNEB7-bin-3,FNEB7-bin-4,FNED7-bin-1,FNED7-bin-2,FNED7-bin-3,FNED7-bin-5,FNED7-bin-6,FNED7-bin-7,FNED7-bin-9,FNEF8-bin_6_1,FNEF8-bin_7,FNEF8-bin_25_2,FNEF8-bin_29_2,FSW8-bin-1,FSW8-bin-2,FSW8-bin-3,TBE6-bin-01,TBE6-bin-02,TBE6-bin-03,TBE6-bin-05,TBE6-bin-10
FNED7-bin-3,0.020618556701,0.020618556701,0.020618556701,0.0,0.123711340206,0.175257731959,0.020618556701,0.0103092783505,0.113402061856,0.0,0.0309278350515,0.020618556701,0.0,0.0103092783505,0.0309278350515,0.020618556701,0.0309278350515,0.123711340206,0.0309278350515,0.134020618557,0.0,0.0927835051546,0.0103092783505,0.020618556701,0.020618556701,0.0412371134021,0.103092783505,0.0309278350515,0.123711340206
FNED7-bin-5,0.316455696203,0.481012658228,0.26582278481,0.506329113924,0.544303797468,0.645569620253,0.316455696203,0.278481012658,0.455696202532,0.506329113924,0.341772151899,0.316455696203,0.506329113924,0.0,0.253164556962,0.20253164557,0.329113924051,0.594936708861,0.316455696203,0.582278481013,0.481012658228,0.506329113924,0.303797468354,0.291139240506,0.329113924051,0.240506329114,0.443037974684,0.316455696203,0.607594936709
FNED7-bin-6,0.146666666667,0.2,0.12,0.293333333333,0.293333333333,0.333333333333,0.146666666667,0.12,0.173333333333,0.293333333333,0.186666666667,0.146666666667,0.293333333333,0.0666666666667,0.0,0.0133333333333,0.186666666667,0.32,0.16,0.306666666667,0.28,0.24,0.133333333333,0.12,0.16,0.186666666667,0.173333333333,0.146666666667,0.333333333333
FNED7-bin-7,0.166666666667,0.307692307692,0.153846153846,0.320512820513,0.371794871795,0.448717948718,0.153846153846,0.153846153846,0.410256410256,0.320512820513,0.166666666667,0.153846153846,0.320512820513,0.153846153846,0.153846153846,0.0,0.153846153846,0.423076923077,0.141025641026,0.371794871795,0.320512820513,0.358974358974,0.179487179487,0.166666666667,0.141025641026,0.166666666667,0.320512820513,0.166666666667,0.423076923077
FNED7-bin-9,0.063829787234,0.191489361702,0.0425531914894,0.276595744681,0.329787234043,0.393617021277,0.063829787234,0.0531914893617,0.31914893617,0.276595744681,0.063829787234,0.063829787234,0.276595744681,0.063829787234,0.0744680851064,0.0,0.0,0.36170212766,0.0744680851064,0.340425531915,0.265957446809,0.255319148936,0.0744680851064,0.0425531914894,0.063829787234,0.117021276596,0.223404255319,0.063829787234,0.393617021277
FNEF8-bin_6_1,0.107142857143,0.107142857143,0.0714285714286,0.130952380952,0.142857142857,0.178571428571,0.107142857143,0.0595238095238,0.0833333333333,0.130952380952,0.107142857143,0.0833333333333,0.130952380952,0.047619047619,0.0952380952381,0.0357142857143,0.107142857143,0.0,0.0952380952381,0.154761904762,0.119047619048,0.119047619048,0.0833333333333,0.0952380952381,0.107142857143,0.0952380952381,0.0,0.107142857143,0.0595238095238
FNEF8-bin_7,0.12037037037,0.25,0.138888888889,0.287037037037,0.351851851852,0.407407407407,0.111111111111,0.12037037037,0.333333333333,0.287037037037,0.148148148148,0.138888888889,0.287037037037,0.12037037037,0.157407407407,0.0555555555556,0.157407407407,0.351851851852,0.0,0.324074074074,0.268518518519,0.259259259259,0.12962962963,0.138888888889,0.148148148148,0.194444444444,0.268518518519,0.12037037037,0.342592592593
FNEF8-bin_25_2,0.0515463917526,0.134020618557,0.0309278350515,0.164948453608,0.0824742268041,0.237113402062,0.0515463917526,0.020618556701,0.144329896907,0.164948453608,0.0515463917526,0.0721649484536,0.164948453608,0.020618556701,0.0721649484536,0.020618556701,0.0618556701031,0.154639175258,0.0618556701031,0.0,0.154639175258,0.0618556701031,0.0309278350515,0.0618556701031,0.0515463917526,0.0824742268041,0.0618556701031,0.0618556701031,0.164948453608
FNEF8-bin_29_2,0.0873786407767,0.0873786407767,0.0873786407767,0.0776699029126,0.184466019417,0.223300970874,0.0873786407767,0.0776699029126,0.184466019417,0.0776699029126,0.0970873786408,0.0873786407767,0.0776699029126,0.0194174757282,0.0970873786408,0.0776699029126,0.0679611650485,0.194174757282,0.0873786407767,0.194174757282,0.0,0.165048543689,0.0776699029126,0.0873786407767,0.0873786407767,0.116504854369,0.155339805825,0.0970873786408,0.194174757282
FSW8-bin-1,0.0851063829787,0.148936170213,0.063829787234,0.18085106383,0.13829787234,0.244680851064,0.0851063829787,0.0744680851064,0.191489361702,0.18085106383,0.0851063829787,0.0851063829787,0.18085106383,0.031914893617,0.0744680851064,0.031914893617,0.0744680851064,0.212765957447,0.0957446808511,0.148936170213,0.18085106383,0.0,0.0851063829787,0.0851063829787,0.0851063829787,0.0957446808511,0.0851063829787,0.0957446808511,0.191489361702
