AAA028I14.genome.CDS.813,group02793
AAA028I14.genome.CDS.812,group03448
AAA028I14.genome.CDS.811,group02792
AAA028I14.genome.CDS.810,group00290
AAA028I14.genome.CDS.1378,group00879
AAA028I14.genome.CDS.1379,group00127
AAA028I14.genome.CDS.815,group01114
AAA028I14.genome.CDS.1296,group00571
AAA028I14.genome.CDS.1374,group00205
AAA028I14.genome.CDS.1375,group00993
AAA028I14.genome.CDS.1376,group00931
AAA028I14.genome.CDS.818,group00177
AAA028I14.genome.CDS.1370,group00246
AAA028I14.genome.CDS.1295,group00456
AAA028I14.genome.CDS.1372,group00548
AAA028I14.genome.CDS.50,group03056
AAA028I14.genome.CDS.1294,group00476
AAA028I14.genome.CDS.798,group01560
AAA028I14.genome.CDS.799,group03962
AAA028I14.genome.CDS.845,group00583
AAA028I14.genome.CDS.794,group13271
AAA028I14.genome.CDS.1293,group00189
AAA028I14.genome.CDS.796,group04613
AAA028I14.genome.CDS.797,group01669
AAA028I14.genome.CDS.1292,group00047
AAA028I14.genome.CDS.1563,group00331
AAA028I14.genome.CDS.1290,group00837
AAA028I14.genome.CDS.1277,group00308
AAA028I14.genome.CDS.1275,group02675
AAA028I14.genome.CDS.1274,group00574
AAA028I14.genome.CDS.1178,group00412
AAA028I14.genome.CDS.1276,group00536
AAA028I14.genome.CDS.1271,group01558
AAA028I14.genome.CDS.1270,group00840
AAA028I14.genome.CDS.1273,group01066
AAA028I14.genome.CDS.1272,group00692
AAA028I14.genome.CDS.1172,group00955
AAA028I14.genome.CDS.1173,group13290
AAA028I14.genome.CDS.1170,group04956
AAA028I14.genome.CDS.1171,group02932
AAA028I14.genome.CDS.1279,group00025
AAA028I14.genome.CDS.1278,group00889
AAA028I14.genome.CDS.1174,group00182
AAA028I14.genome.CDS.1175,group00075
AAA028I14.genome.CDS.1441,group13314
AAA028I14.genome.CDS.1230,group00481
AAA028I14.genome.CDS.1446,group13308
AAA028I14.genome.CDS.1568,group00498
AAA028I14.genome.CDS.1112,group00439
AAA028I14.genome.CDS.1113,group01010
AAA028I14.genome.CDS.919,group00472
