,AAA023D18,AAA023J06,AAA024D14,AAA027D23,AAA027E14,AAA027F04,AAA027J17,AAA027L06,AAA027L17,AAA027M14,AAA028A23,AAA028C09,AAA028E20,AAA028G02,AAA028I14,AAA028N15,AAA028P02,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,MEintmetabat10152,MEintmetabat1091,MEintmetabat11576,MEintmetabat1363,MEintmetabat14260,MEintmetabat1719,MEintmetabat1953,MEintmetabat2297,MEintmetabat2538,MEintmetabat2729,MEintmetabat283,MEintmetabat3119,MEintmetabat3163,MEintmetabat3864,MEintmetabat4252,MEintmetabat6647,MEintmetabat885,TBepimetabat149,TBepimetabat2057,TBepimetabat2754,TBepimetabat2973,TBepimetabat3207,TBepimetabat3256,TBepimetabat3475,TBepimetabat4163,TBepimetabat4208,TBhypometabat2152,TBhypometabat3180,TBhypometabat3219,TBhypometabat3463,TBhypometabat3765,TBhypometabat3815,TBhypometabat3838,TBhypometabat680,TBhypometabat9906
AAA028A23,0.013513513513513514,0.13513513513513514,0.14864864864864866,0.24324324324324326,0.3108108108108108,0.04054054054054054,0.13513513513513514,0.13513513513513514,0.4189189189189189,0.08108108108108109,0.0,0.0,0.14864864864864866,0.3108108108108108,0.10810810810810811,0.25675675675675674,0.36486486486486486,0.3108108108108108,0.25675675675675674,0.2972972972972973,0.25675675675675674,0.10810810810810811,0.24324324324324326,0.04054054054054054,0.5,0.4864864864864865,0.24324324324324326,0.12162162162162163,0.40540540540540543,0.47297297297297297,0.33783783783783783,0.2702702702702703,0.4189189189189189,0.3918918918918919,0.10810810810810811,0.24324324324324326,0.527027027027027,0.12162162162162163,0.22972972972972974,0.14864864864864866,0.13513513513513514,0.08108108108108109,0.20270270270270271,0.22972972972972974,0.43243243243243246,0.2972972972972973,0.44594594594594594,0.20270270270270271,0.10810810810810811,0.25675675675675674,0.10810810810810811,0.47297297297297297,0.4189189189189189,0.25675675675675674,0.28378378378378377,0.527027027027027,0.17567567567567569,0.25675675675675674,0.20270270270270271
AAA028C09,0.22,0.52,0.24,0.42,0.22,0.5,0.3,0.3,0.24,0.3,0.18,0.0,0.28,0.68,0.6,0.42,0.62,0.72,0.74,0.66,0.54,0.3,0.72,0.18,0.76,0.7,0.32,0.32,0.72,0.72,0.32,0.72,0.58,0.58,0.28,0.66,0.72,0.22,0.72,0.54,0.24,0.46,0.7,0.72,0.7,0.72,0.6,0.7,0.52,0.68,0.6,0.72,0.7,0.72,0.66,0.76,0.26,0.5,0.56
AAA028E20,0.04,0.06,0.03,0.18,0.26,0.04,0.08,0.1,0.34,0.07,0.08,0.01,0.0,0.18,0.07,0.18,0.23,0.24,0.16,0.2,0.16,0.07,0.22,0.07,0.38,0.39,0.23,0.09,0.36,0.4,0.27,0.2,0.28,0.32,0.07,0.18,0.39,0.09,0.16,0.06,0.09,0.05,0.19,0.2,0.29,0.25,0.35,0.19,0.12,0.16,0.1,0.34,0.29,0.22,0.23,0.4,0.14,0.18,0.14
AAA028G02,0.022388059701492536,0.05223880597014925,0.022388059701492536,0.029850746268656716,0.1417910447761194,0.03731343283582089,0.03731343283582089,0.04477611940298507,0.19402985074626866,0.029850746268656716,0.022388059701492536,0.0,0.022388059701492536,0.0,0.05223880597014925,0.04477611940298507,0.14925373134328357,0.08208955223880597,0.04477611940298507,0.07462686567164178,0.029850746268656716,0.029850746268656716,0.05970149253731343,0.04477611940298507,0.2462686567164179,0.208955223880597,0.13432835820895522,0.03731343283582089,0.1791044776119403,0.20149253731343283,0.208955223880597,0.04477611940298507,0.1791044776119403,0.21641791044776118,0.029850746268656716,0.05223880597014925,0.20149253731343283,0.05970149253731343,0.04477611940298507,0.029850746268656716,0.04477611940298507,0.007462686567164179,0.05223880597014925,0.05223880597014925,0.1417910447761194,0.08208955223880597,0.17164179104477612,0.05223880597014925,0.07462686567164178,0.029850746268656716,0.029850746268656716,0.14925373134328357,0.12686567164179105,0.06716417910447761,0.08208955223880597,0.2462686567164179,0.022388059701492536,0.04477611940298507,0.022388059701492536
AAA028I14,0.09482758620689655,0.0603448275862069,0.11206896551724138,0.20689655172413793,0.19827586206896552,0.04310344827586207,0.12931034482758622,0.09482758620689655,0.31896551724137934,0.08620689655172414,0.10344827586206896,0.008620689655172414,0.13793103448275862,0.23275862068965517,0.0,0.1810344827586207,0.25,0.21551724137931033,0.1896551724137931,0.2413793103448276,0.19827586206896552,0.08620689655172414,0.21551724137931033,0.06896551724137931,0.3275862068965517,0.3275862068965517,0.23275862068965517,0.09482758620689655,0.33620689655172414,0.35344827586206895,0.21551724137931033,0.19827586206896552,0.2413793103448276,0.27586206896551724,0.06896551724137931,0.1724137931034483,0.3620689655172414,0.09482758620689655,0.19827586206896552,0.11206896551724138,0.0603448275862069,0.07758620689655173,0.1810344827586207,0.20689655172413793,0.28448275862068967,0.2413793103448276,0.3275862068965517,0.1810344827586207,0.12931034482758622,0.15517241379310345,0.10344827586206896,0.33620689655172414,0.29310344827586204,0.23275862068965517,0.21551724137931033,0.35344827586206895,0.14655172413793102,0.19827586206896552,0.14655172413793102
AAA028N15,0.07692307692307693,0.1978021978021978,0.12087912087912088,0.12087912087912088,0.1978021978021978,0.16483516483516483,0.12087912087912088,0.13186813186813187,0.2857142857142857,0.10989010989010989,0.0989010989010989,0.0,0.13186813186813187,0.2967032967032967,0.23076923076923078,0.0,0.34065934065934067,0.31868131868131866,0.24175824175824176,0.2967032967032967,0.2857142857142857,0.10989010989010989,0.26373626373626374,0.12087912087912088,0.4065934065934066,0.45054945054945056,0.23076923076923078,0.10989010989010989,0.38461538461538464,0.43956043956043955,0.26373626373626374,0.27472527472527475,0.3956043956043956,0.45054945054945056,0.07692307692307693,0.26373626373626374,0.45054945054945056,0.16483516483516483,0.23076923076923078,0.27472527472527475,0.0989010989010989,0.2087912087912088,0.27472527472527475,0.2967032967032967,0.4065934065934066,0.3076923076923077,0.43956043956043955,0.25274725274725274,0.2967032967032967,0.24175824175824176,0.25274725274725274,0.43956043956043955,0.38461538461538464,0.27472527472527475,0.3076923076923077,0.46153846153846156,0.08791208791208792,0.15384615384615385,0.21978021978021978
AAA028P02,0.06422018348623854,0.06422018348623854,0.09174311926605505,0.11926605504587157,0.09174311926605505,0.01834862385321101,0.07339449541284404,0.09174311926605505,0.1743119266055046,0.07339449541284404,0.08256880733944955,0.0,0.10091743119266056,0.1651376146788991,0.08256880733944955,0.10091743119266056,0.0,0.1559633027522936,0.10091743119266056,0.1559633027522936,0.13761467889908258,0.07339449541284404,0.13761467889908258,0.09174311926605505,0.1926605504587156,0.21100917431192662,0.12844036697247707,0.07339449541284404,0.1651376146788991,0.22018348623853212,0.1559633027522936,0.12844036697247707,0.10091743119266056,0.21100917431192662,0.08256880733944955,0.11926605504587157,0.22018348623853212,0.09174311926605505,0.11009174311926606,0.07339449541284404,0.09174311926605505,0.045871559633027525,0.11926605504587157,0.11009174311926606,0.1743119266055046,0.12844036697247707,0.1926605504587156,0.11009174311926606,0.11926605504587157,0.11009174311926606,0.09174311926605505,0.1926605504587156,0.1651376146788991,0.11926605504587157,0.1559633027522936,0.1926605504587156,0.05504587155963303,0.11009174311926606,0.09174311926605505
AAA041L13,0.03305785123966942,0.008264462809917356,0.04132231404958678,0.0743801652892562,0.11570247933884298,0.024793388429752067,0.0743801652892562,0.0743801652892562,0.19008264462809918,0.024793388429752067,0.05785123966942149,0.0,0.0743801652892562,0.09090909090909091,0.01652892561983471,0.06611570247933884,0.12396694214876033,0.0,0.06611570247933884,0.08264462809917356,0.0743801652892562,0.03305785123966942,0.06611570247933884,0.008264462809917356,0.23140495867768596,0.21487603305785125,0.19834710743801653,0.05785123966942149,0.18181818181818182,0.2066115702479339,0.2066115702479339,0.05785123966942149,0.15702479338842976,0.2396694214876033,0.06611570247933884,0.06611570247933884,0.2396694214876033,0.05785123966942149,0.06611570247933884,0.03305785123966942,0.024793388429752067,0.0743801652892562,0.024793388429752067,0.05785123966942149,0.19008264462809918,0.0743801652892562,0.2066115702479339,0.03305785123966942,0.09090909090909091,0.049586776859504134,0.049586776859504134,0.2066115702479339,0.19834710743801653,0.05785123966942149,0.09090909090909091,0.24793388429752067,0.008264462809917356,0.06611570247933884,0.04132231404958678
AAA044D11,0.025423728813559324,0.0847457627118644,0.1271186440677966,0.07627118644067797,0.1440677966101695,0.025423728813559324,0.059322033898305086,0.09322033898305085,0.22033898305084745,0.0423728813559322,0.0847457627118644,0.0,0.06779661016949153,0.1016949152542373,0.06779661016949153,0.09322033898305085,0.16101694915254236,0.16101694915254236,0.0,0.15254237288135594,0.0847457627118644,0.06779661016949153,0.11016949152542373,0.09322033898305085,0.2457627118644068,0.22033898305084745,0.19491525423728814,0.06779661016949153,0.19491525423728814,0.2711864406779661,0.19491525423728814,0.1016949152542373,0.16101694915254236,0.2627118644067797,0.059322033898305086,0.059322033898305086,0.2796610169491525,0.1271186440677966,0.059322033898305086,0.07627118644067797,0.07627118644067797,0.0423728813559322,0.06779661016949153,0.09322033898305085,0.16101694915254236,0.13559322033898305,0.2457627118644068,0.05084745762711865,0.11864406779661017,0.025423728813559324,0.06779661016949153,0.211864406779661,0.211864406779661,0.11864406779661017,0.16101694915254236,0.2711864406779661,0.03389830508474576,0.059322033898305086,0.03389830508474576
AAA044N04,0.01694915254237288,0.00847457627118644,0.0,0.05084745762711865,0.11864406779661017,0.01694915254237288,0.025423728813559324,0.01694915254237288,0.17796610169491525,0.03389830508474576,0.00847457627118644,0.0,0.01694915254237288,0.05084745762711865,0.03389830508474576,0.0423728813559322,0.09322033898305085,0.05084745762711865,0.025423728813559324,0.0,0.03389830508474576,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.211864406779661,0.2033898305084746,0.16101694915254236,0.025423728813559324,0.17796610169491525,0.19491525423728814,0.17796610169491525,0.03389830508474576,0.1440677966101695,0.2033898305084746,0.025423728813559324,0.0423728813559322,0.211864406779661,0.03389830508474576,0.01694915254237288,0.03389830508474576,0.025423728813559324,0.01694915254237288,0.025423728813559324,0.03389830508474576,0.15254237288135594,0.059322033898305086,0.17796610169491525,0.01694915254237288,0.07627118644067797,0.03389830508474576,0.01694915254237288,0.17796610169491525,0.1440677966101695,0.0423728813559322,0.0847457627118644,0.22033898305084745,0.00847457627118644,0.03389830508474576,0.025423728813559324
